feat_idx	best_transform	params_csv	r_identity	r_best
482	identity		0.093890	0.093890
483	identity		0.099395	0.099395
484	signed_cbrt		0.062284	0.094703
485	signed_cbrt		-0.032056	-0.072387
486	signed_cbrt		0.036598	0.065608
487	identity		0.087763	0.087763
488	log1p		-0.360922	-0.369201
489	signed_cbrt		-0.318929	-0.328424
490	signed_cbrt		-0.277420	-0.306347
491	log1p		-0.383188	-0.392664
492	identity		-0.366569	-0.366569
493	signed_cbrt		-0.032853	-0.215755
494	log1p		-0.381790	-0.388033
495	identity		-0.220612	-0.220612
496	identity		-0.193695	-0.193695
497	signed_cbrt		-0.327563	-0.343846
498	identity		-0.421465	-0.421465
499	identity		-0.411939	-0.411939
500	log1p		-0.349800	-0.359893
501	log1p		-0.317604	-0.331118
502	identity		-0.357220	-0.357220
503	signed_cbrt		0.007104	-0.187981
504	log1p		-0.359760	-0.367511
505	log1p		-0.427405	-0.433418
506	identity		-0.363784	-0.363784
507	signed_cbrt		-0.054419	-0.226812
508	signed_cbrt		-0.143675	-0.167686
509	identity		0.104276	0.104276
510	identity		-0.466711	-0.466711
511	log1p		-0.152403	-0.175089
512	signed_cbrt		-0.118633	-0.163443
513	identity		-0.122534	-0.122534
514	log1p		-0.116328	-0.126413
515	identity		-0.167965	-0.167965
516	signed_cbrt		-0.262271	-0.353289
517	identity		0.056598	0.056598
518	identity		0.052790	0.052790
519	signed_cbrt		0.026241	-0.035298
520	identity		0.052864	0.052864
521	identity		-0.126401	-0.126401
522	identity		0.152200	0.152200
523	identity		0.023556	0.023556
524	identity		-0.062484	-0.062484
525	identity		-0.134703	-0.134703
526	identity		0.040245	0.040245
527	log1p		-0.016216	-0.028307
528	identity		-0.107363	-0.107363
529	identity		0.057956	0.057956
530	identity		0.041746	0.041746
531	identity		-0.112009	-0.112009
532	identity		0.153866	0.153866
533	identity		0.056787	0.056787
534	identity		0.075948	0.075948
535	identity		-0.137026	-0.137026
536	identity		0.146677	0.146677
537	identity		0.099037	0.099037
538	identity		0.269756	0.269756
539	identity		-0.041293	-0.041293
540	identity		0.097970	0.097970
541	identity		0.102560	0.102560
542	signed_cbrt		0.084228	0.106318
543	signed_cbrt		-0.028858	-0.082799
544	signed_cbrt		0.054985	0.074637
